time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: -0.069, -0.005, -0.971 | -0.058, -0.055, -0.965
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
1136, 0.001, 0.011, -0.001, -0.010, 0.002, -0.007
1342, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
1548, -0.013, -0.003, -0.001, -0.010, 0.002, -0.007
1755, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
1960, -0.013, -0.003, -0.016, -0.010, 0.002, -0.007
2167, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
2373, -0.013, -0.003, -0.016, -0.010, -0.013, -0.007
2579, 0.001, -0.003, -0.001, -0.010, 0.002, -0.007
2786, -0.013, -0.003, -0.001, 0.005, -0.013, -0.007
2992, -0.013, -0.003, -0.001, -0.010, 0.002, -0.007
3198, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
3404, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
3610, -0.013, -0.003, -0.016, -0.010, 0.002, -0.007
3817, 0.001, -0.003, -0.001, -0.010, -0.013, 0.008
4023, -0.013, -0.003, -0.016, -0.010, -0.013, 0.008
4229, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
4435, -0.013, -0.003, -0.001, 0.005, 0.002, -0.007
4641, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
4848, 0.001, -0.003, -0.001, -0.010, 0.002, -0.007
5054, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
5260, -0.013, -0.003, -0.001, -0.010, 0.002, -0.007
5467, -0.013, -0.003, -0.016, -0.010, 0.002, -0.007
5672, -0.013, -0.003, -0.016, -0.010, -0.013, -0.007
5878, 0.001, -0.003, -0.001, 0.005, -0.013, -0.007
6085, -0.013, -0.003, -0.001, -0.010, 0.002, -0.007
6291, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
6498, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
6704, 0.001, -0.003, -0.016, -0.010, 0.002, -0.007
6909, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
7116, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
7322, 0.001, -0.003, -0.001, -0.010, 0.002, -0.007
7529, 0.001, -0.003, -0.016, -0.010, -0.013, -0.007
7735, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
7941, 0.001, -0.003, -0.001, -0.010, 0.002, -0.007
8147, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
8353, -0.013, -0.003, -0.001, 0.005, -0.013, -0.007
8559, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
8766, 0.001, -0.003, -0.001, -0.010, -0.013, -0.007
8972, -0.013, -0.003, -0.001, -0.010, 0.002, -0.007
9179, -0.013, -0.003, -0.001, -0.010, 0.002, -0.007
9384, -0.013, -0.003, -0.001, -0.010, -0.013, -0.007
9590, 0.001, -0.003, -0.001, -0.010, 0.002, -0.007
