time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: -0.065, -0.058, -1.014 | -0.090, -0.057, -1.015
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
1135, -0.048, -0.010, -0.002, 0.008, -0.011, 0.014
1342, -0.018, -0.143, -0.046, -0.007, 0.004, 0.014
1548, -0.018, 0.020, -0.046, 0.008, -0.011, 0.029
1755, -0.226, -0.054, -0.061, -0.007, 0.004, -0.001
1960, -0.048, -0.069, -0.091, 0.022, 0.004, -0.001
2166, 0.204, 0.079, -0.061, -0.007, 0.033, 0.044
2373, 0.545, -0.232, -0.002, -0.052, 0.018, -0.045
2579, 0.308, 0.242, 0.013, -0.022, -0.011, -0.089
2785, 0.011, 0.212, 0.057, -0.007, -0.011, 0.044
2992, -0.522, 0.212, 0.013, 0.022, -0.026, -0.060
3197, -0.003, 0.257, -0.031, 0.008, -0.026, -0.015
3404, -0.063, 0.035, -0.017, 0.008, -0.011, -0.015
3610, 0.011, -0.069, -0.002, -0.037, 0.018, 0.014
3816, 0.337, -0.217, 0.087, -0.022, -0.011, -0.030
4023, 0.411, 0.479, -0.076, -0.096, 0.033, -0.030
4229, 0.411, 0.079, -0.046, -0.007, -0.026, -0.089
4435, -0.092, -0.321, -0.105, -0.022, 0.004, -0.001
4641, 0.219, 0.094, -0.105, -0.022, 0.018, -0.015
4847, 0.011, 0.005, 0.072, -0.096, 0.048, 0.044
5054, -0.655, -0.114, -0.002, -0.007, -0.026, 0.059
5260, -0.181, 0.079, -0.091, 0.008, -0.011, 0.088
5467, -0.344, 0.464, 0.043, 0.037, 0.004, 0.118
5672, -0.285, 0.538, -0.120, 0.111, -0.041, 0.059
5878, 0.115, 0.405, -0.031, 0.052, -0.041, -0.030
6085, -0.448, 0.331, 0.132, 0.037, -0.026, 0.073
6291, -0.507, 0.138, 0.028, 0.037, -0.056, 0.118
6498, -0.122, 0.434, -0.002, 0.008, -0.011, 0.148
6704, 0.085, 0.316, -0.091, -0.022, 0.004, 0.118
6909, -0.107, -0.188, -0.076, 0.008, 0.004, 0.103
7116, -0.196, -0.439, 0.043, 0.008, 0.018, 0.103
7322, 0.011, -0.128, 0.072, -0.007, 0.004, 0.073
7529, 0.234, -0.084, 0.028, -0.007, 0.004, 0.148
7735, 0.367, -0.173, 0.043, -0.022, 0.018, 0.029
7941, 0.219, -0.099, -0.091, -0.037, 0.004, -0.104
8147, 0.411, -0.380, -0.031, -0.067, -0.011, -0.193
8353, 0.056, -0.499, 0.013, -0.111, 0.018, -0.208
8560, 0.011, -0.573, 0.013, -0.096, 0.018, -0.119
8766, 0.441, 0.168, 0.028, -0.081, 0.018, -0.134
8972, -0.329, 0.405, 0.072, 0.008, -0.026, -0.119
9179, 0.234, -0.114, 0.043, -0.037, -0.011, -0.119
9384, -0.226, -0.395, 0.102, 0.022, -0.041, -0.104
9591, 0.056, 0.494, 0.013, 0.008, -0.026, -0.089
9797, 0.308, 0.523, 0.043, -0.037, -0.011, -0.075
10004, -0.003, 0.079, 0.013, 0.008, -0.011, -0.015
10210, 0.160, 0.035, -0.017, -0.037, 0.004, 0.014
10416, -0.107, -0.040, 0.013, -0.007, 0.004, -0.030
10622, -0.122, -0.173, -0.046, 0.008, -0.011, -0.030
10828, -0.255, -0.321, 0.013, 0.008, -0.011, 0.073
11035, -0.003, 0.271, -0.135, 0.037, -0.026, 0.088
11241, -0.048, -0.528, -0.002, 0.008, 0.004, -0.001
11448, 0.189, 0.079, -0.135, -0.022, 0.004, 0.014
11654, -0.033, -0.069, -0.017, -0.007, -0.011, 0.014
11859, 0.219, -0.202, -0.046, -0.022, 0.004, 0.029
12066, 0.100, -0.069, -0.061, -0.022, 0.004, -0.045
12272, 0.056, 0.123, 0.028, -0.007, -0.011, -0.015
