time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: 0.007, -0.008, -0.968 | 0.006, 0.055, -1.021
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
20111, -0.135, -0.119, -0.003, -0.000, -0.020, -0.040
20317, -0.001, -0.163, -0.048, -0.030, -0.005, -0.069
20524, -0.061, 0.044, -0.003, 0.015, -0.005, -0.040
20729, 0.013, 0.044, 0.012, -0.015, 0.010, -0.010
20936, -0.016, -0.030, 0.086, 0.015, -0.020, -0.010
21142, 0.073, 0.044, -0.018, -0.000, 0.010, -0.010
21348, -0.327, -0.060, -0.122, -0.015, -0.005, -0.025
21555, 0.102, -0.119, -0.003, -0.000, -0.020, -0.025
21761, -0.046, -0.104, -0.048, 0.015, -0.005, -0.025
21967, 0.013, -0.015, 0.012, -0.015, -0.005, 0.020
22173, 0.043, 0.207, -0.048, -0.015, -0.005, 0.049
22380, -0.075, -0.104, -0.077, -0.015, -0.005, 0.034
22586, 0.206, 0.074, 0.056, -0.030, 0.010, -0.025
22793, 0.132, -0.015, 0.115, -0.030, -0.005, -0.010
22999, 0.043, -0.000, -0.003, -0.000, -0.034, 0.020
23204, -0.283, -0.193, -0.018, -0.000, 0.010, -0.010
23411, -0.046, -0.104, -0.048, -0.015, -0.020, 0.005
23617, -0.031, -0.134, 0.012, -0.015, -0.020, 0.020
23824, 0.043, 0.192, -0.048, -0.015, 0.025, -0.010
24030, -0.268, -0.030, -0.063, -0.000, -0.020, 0.049
24237, 0.280, 0.044, 0.130, -0.000, -0.034, -0.010
24442, 0.073, -0.089, -0.033, -0.015, -0.020, -0.040
24649, -0.194, -0.000, -0.122, -0.030, 0.010, -0.025
24855, -0.179, -0.178, -0.063, -0.015, -0.020, -0.010
25061, 0.013, -0.149, 0.012, -0.000, -0.005, -0.055
25268, -0.075, -0.104, -0.018, -0.044, 0.025, -0.025
25474, 0.028, 0.044, -0.033, -0.000, -0.005, 0.020
25680, 0.162, 0.074, -0.003, 0.015, -0.034, -0.010
25886, -0.031, -0.060, -0.048, 0.015, -0.034, 0.005
26093, 0.028, 0.074, -0.003, -0.000, -0.020, 0.020
26299, -0.001, -0.000, 0.100, -0.015, -0.005, -0.010
26506, -0.090, -0.104, -0.018, -0.044, -0.005, -0.010
26712, -0.031, 0.088, -0.018, -0.030, -0.005, -0.025
26917, 0.013, 0.118, -0.063, -0.000, -0.020, 0.005
27124, -0.135, -0.045, -0.018, 0.030, -0.020, 0.005
27330, 0.073, -0.119, 0.026, -0.015, 0.010, -0.010
27537, -0.164, -0.000, -0.107, -0.015, -0.020, -0.025
